dataset,component,harmonic,cos_coeff_T,sin_coeff_T,magnitude_T
slotted FEMM,Bt_T,3,-6.060034776104136e-05,-0.017145750914841138,0.017145858008158252
slotted FEMM,Bt_T,4,-2.0191663232311926e-05,0.006160704989978833,0.006160738078900463
slotted FEMM,Bt_T,5,7.203019769975511e-05,0.018184555931437897,0.018184698589005368
slotted FEMM,Bt_T,6,0.0003249406398997668,-0.02493414517111535,0.02493626238700807
slotted FEMM,Bt_T,7,-0.00036697448041605,0.0076088746500304946,0.0076177190621047
slotted FEMM,Bt_T,8,0.0001644075113922943,0.00023877129030531075,0.00028989922193112277
slotted FEMM,Bt_T,9,1.0696185661552524e-05,-0.002140870443329156,0.0021408971632257546
slotted FEMM,Bt_T,10,-0.0003672268532763953,-0.0037862615267528557,0.003804028379328439
slotted FEMM,Bt_T,11,8.576652260122207e-05,-0.005845822428636334,0.00584645155316853
slotted FEMM,Bt_T,12,0.00023771210514534968,0.03184033033232371,0.03184121767012728
slotted FEMM,Bt_T,13,0.0005354250629822693,-0.00870024857060263,0.00871670839183821
slotted FEMM,Bt_T,14,-0.00023004553803027104,-0.00549568750004435,0.005500500163413446
slotted FEMM,Bt_T,15,-0.000605881170599132,-0.00023827546271881986,0.0006510508344364841
slotted FEMM,Bt_T,16,0.0005470570595891938,0.0036249209970969317,0.003665968311597986
slotted FEMM,Bt_T,17,8.624720769903659e-05,0.005375416039596481,0.0053761079025245575
slotted FEMM,Bt_T,18,0.00015458991292020228,-0.01515848944239342,0.015159277694413064
slotted FEMM,Bt_T,19,-0.00023184500350336462,0.003884920742244741,0.0038918326376108344
slotted FEMM,Bt_T,20,-0.00022590128248293863,0.002221107182032649,0.002232565453352813
slotted FEMM,Bt_T,21,0.00020006501298850838,0.00045010114624778456,0.0004925617233156283
slotted FEMM,Bt_T,22,-0.0004993268037911484,-0.0007314111133547915,0.0008856011933840083
slotted FEMM,Bt_T,23,0.00023799998382192955,-0.0011226841808967753,0.0011476339844807236
slotted FEMM,Bt_T,24,5.815020942586973e-05,0.002529440947111493,0.002530109276648058
slotted FEMM,Bt_T,25,8.831310148796967e-05,-0.0005842986915547961,0.0005909349920651773
slotted FEMM,Bt_T,26,6.571902787708665e-05,-0.00030800658944353927,0.0003149397557720369
slotted FEMM,Bt_T,27,-0.00036686837865922237,-0.0002399779040928646,0.0004383854487923278
slotted FEMM,Bt_T,28,7.747648600020572e-05,-0.00030876758380381957,0.00031833948339938736
slotted FEMM,Bt_T,29,-0.00021518777982520656,-0.0009190955947051813,0.0009439504715781292
slotted FEMM,Bt_T,30,0.00015241813779888334,0.001943806445470016,0.0019497730088861261
slotted FEMM,Bt_T,31,0.00011463143869117094,-0.000985196055662611,0.0009918425453818637
slotted FEMM,Bt_T,32,-0.00015383619327284968,-0.0004913434085904296,0.0005148630104464132
slotted FEMM,Bt_T,33,-0.000354481536419376,0.0005231122584613405,0.0006319047353951113
slotted FEMM,Bt_T,34,-0.00019867439177132304,0.00027457084785501186,0.0003389109978114095
slotted FEMM,Bt_T,35,0.0003056826346807208,0.0006485925889987231,0.0007170175867085922
slotted FEMM,Bt_T,36,0.00036822740469507806,-0.0023423018939821723,0.002371069291294741
slotted FEMM,Bt_T,37,0.0002948304410678121,0.0007058277593384875,0.0007649299411273103
slotted FEMM,Bt_T,38,8.604611719960332e-05,0.0006528224875902321,0.0006584687802687586
slotted FEMM,Bt_T,39,1.1071815655358103e-05,-0.0002848456402052002,0.00028506073711722664
slotted FEMM,Bt_T,40,-0.0004528261971562838,-8.955745564650209e-06,0.000452914749384076
slotted FEMM,Bt_T,41,-0.0002865498208240352,-0.0005232567358348059,0.0005965805992577889
slotted FEMM,Bt_T,42,7.379998632003742e-05,0.0004826623134457392,0.00048827179603334734
slotted FEMM,Bt_T,43,0.00026811977616134243,-8.345949436367649e-05,0.00028080901261934044
slotted FEMM,Bt_T,44,0.0002659544131178479,0.000298513073728072,0.0003998022074019105
slotted FEMM,Bt_T,45,-2.0320152764472234e-05,0.0004840760373496407,0.00048450234111354116
slotted FEMM,Bt_T,46,-0.00010758982595740887,-0.00037189560156327555,0.00038714584992177834
slotted FEMM,Bt_T,47,-0.00024261606856789767,-0.00045923204789951856,0.000519381007108778
slotted FEMM,Bt_T,48,-0.0002942571752404032,0.00011244200518161138,0.0003150087137044353
slotted FEMM,Bt_T,49,0.0002522830365204307,-4.8869925733660426e-05,0.00025697276150826265
slotted FEMM,Bt_T,50,0.00020593837324046956,-0.00024002892870853237,0.0003162665018459854
slotted FEMM,Bt_T,51,-0.0001594430974498372,4.243024142176487e-05,0.000164992201971813
slotted FEMM,Bt_T,52,-5.999911729142766e-05,1.4958572988245397e-05,6.183569342697759e-05
slotted FEMM,Bt_T,53,-3.0725002999999935e-05,7.30602293559276e-05,7.925795179596019e-05
slotted FEMM,Bt_T,54,0.00028916063303824195,-0.0005702490713270479,0.0006393730327816754
slotted FEMM,Bt_T,55,4.12605359843341e-05,6.483917866447398e-05,7.685408850281232e-05
slotted FEMM,Bt_T,56,-0.00010509424241336006,0.00035075634651271097,0.0003661622787882212
slotted FEMM,Bt_T,57,6.236145135579318e-05,-0.00010008851006888942,0.00011792650449755195
slotted FEMM,Bt_T,58,-0.00026344764317314255,1.284640191671625e-05,0.000263760669425313
slotted FEMM,Bt_T,59,1.954878035643188e-05,-0.00015726328386451722,0.00015847364217836272
slotted FEMM,Bt_T,60,0.0001708715601507365,0.0001589610923688676,0.0002333789171186001
Structure2 h7,Br_T,0,0.5041949613362714,0.0,0.5041949613362714
Structure2 h7,Br_T,1,-0.21468122228418646,7.067899292141149e-17,0.21468122228418646
Structure2 h7,Br_T,2,-0.13333535705134691,1.0601848938211722e-16,0.13333535705134691
Structure2 h7,Br_T,3,-0.05313129995763464,9.718361526694079e-17,0.05313129995763464
Structure2 h7,Br_T,4,-0.021923239644586725,6.184411880623505e-17,0.021923239644586725
Structure2 h7,Br_T,5,-0.014694393974555256,5.742668174864683e-17,0.014694393974555256
Structure2 h7,Br_T,6,-0.010198312240364464,7.067899292141149e-17,0.010198312240364464
