fit_kind,apply_s1_correction,theta_offset_deg,structure2_scale,structure1_scale,structure1_condition,solver_scaling,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,Br_rms,Bt_rms
edge_BrBt_kS1,False,-76.0,1.0,-0.0668021871657589,854207.4949590549,rowcol,0.3611507672990951,0.6229837486994766,0.020943395608993453,1.310874036755599,0.3846752747358018,0.6201810829436512,0.3731089340404369,0.6215773092593795,0.13906805042701137,0.6290400111014288,0.5328294792971412,0.02716215933960521
all_BrBt_kS1,False,-76.0,1.0,-0.03614535939839851,854207.4949590549,rowcol,0.36683579095894064,0.6229129063100621,0.020330522511705876,1.3266213368071058,0.3794575933059795,0.6186045545881972,0.3732056692016435,0.6207521899597792,0.13902483809319785,0.6284619756429146,0.5341900131110829,0.027200463547388316
edge_BrBt_cS2_kS1,False,-76.0,0.808967108956407,0.09625520116519955,854207.4949590549,rowcol,0.30720367322148867,0.6272630701108673,0.18413471059737635,1.0756645287357323,0.28963376452506373,0.6169087184025552,0.298540185628393,0.6220827354055208,0.20353594826766247,0.6264043927401761,0.4377608959568305,0.02216609928607267
all_BrBt_cS2_kS1,False,-76.0,0.9433180231699962,0.2813760468915057,854207.4949590549,rowcol,0.38781627686743825,0.6192017249221907,0.04043645370244944,1.4274889533040684,0.2947022442445479,0.598848783686497,0.3443793957004904,0.6090617198776302,0.13253619715005552,0.6185745844573836,0.5181516177797538,0.0260774347330333
edge_Br_only_kS1,False,-74.0,1.0,-0.014361725222039526,854207.4949590549,rowcol,0.37092893287655604,0.6228984294428941,0.0201596401723138,1.3391038233216332,0.3759675453927745,0.617380914742885,0.37345897805950506,0.6201326455339586,0.13909597478361357,0.6280399676755816,0.5352337638719967,0.02723355069736027
edge_BrBt_kS1,False,-74.0,1.0,-0.006584004829448461,854207.4949590549,rowcol,0.3723804516616577,0.6228610580582331,0.020181542880420344,1.3428673308675394,0.37454079694379766,0.6170431904571757,0.37346314741208836,0.6199450694866803,0.13910024298888096,0.6279123693674024,0.5355398963139929,0.0272403610489596
all_BrBt_kS1,False,-74.0,1.0,-0.01293451085471546,854207.4949590549,rowcol,0.3711950197576678,0.62289157174324,0.020161431849193414,1.3397899978967758,0.3757055846471559,0.6173189198244414,0.37345911845227125,0.6200982112891743,0.13909625043926058,0.6280164593525334,0.5352899163439773,0.02723479830456366
edge_BrBt_cS2_kS1,False,-74.0,0.8105327701745416,0.07600763167725047,854207.4949590549,rowcol,0.30529851124258967,0.6268802159516919,0.18515149300318498,1.0627213469972536,0.29199593276768215,0.6190806677730314,0.2987153634449019,0.6229740409070699,0.20436602935266698,0.627128766072713,0.43729644331614,0.022152457998246656
all_BrBt_cS2_kS1,False,-74.0,0.9491933444626567,0.2385110059116016,854207.4949590549,rowcol,0.38334124955889953,0.6188147556427861,0.04082854552638579,1.4000279699971852,0.3019608500734023,0.6034500058780646,0.3450226448991735,0.6111440123065539,0.13286748198441664,0.620172156712629,0.5181260971328118,0.02608558273161212
edge_Br_only_kS1,False,-72.0,1.0,0.010320309290470585,854207.4949590549,rowcol,0.3755449769974709,0.6227881707951038,0.020335937154202267,1.3502260318613037,0.3713779556884584,0.6164291775674483,0.3734654245307548,0.6196016615689767,0.13912049769929463,0.6276863148942693,0.5361503645382133,0.027251886647375188
edge_BrBt_kS1,False,-72.0,1.0,0.015769871580942594,854207.4949590549,rowcol,0.37656815154486184,0.6227663881822766,0.02041506546559113,1.3524550241109343,0.3703466543242441,0.616255884426572,0.3734675908610114,0.6195041569545355,0.13913129997275175,0.6276243679836969,0.5363359989670464,0.027254937465656093
all_BrBt_kS1,False,-72.0,1.0,-0.0029250523977088117,854207.4949590549,rowcol,0.3730652161156362,0.6228411147905927,0.02020027523635388,1.3449521812543066,0.3738900385823745,0.6168506402586387,0.37347822196438557,0.6198388231744437,0.13910810418184882,0.6278394753547484,0.5356998891606254,0.027244530789123304
edge_BrBt_cS2_kS1,False,-72.0,0.8113732760564388,0.051253089506952454,854207.4949590549,rowcol,0.30311275579888586,0.6268885754620463,0.18691732650082735,1.0460479374206284,0.2946616806134844,0.6211327657330815,0.2989133270958652,0.6240035756118752,0.20578899847136853,0.6279482041543141,0.43648457971259075,0.022135943472598854
all_BrBt_cS2_kS1,False,-72.0,0.9546418920942317,0.19061943469826134,854207.4949590549,rowcol,0.37801733733444826,0.619334592500237,0.04093930639976963,1.361706659901812,0.31177263092472673,0.6081970450853103,0.34645246920952283,0.6137645116444405,0.1334026028423368,0.622140946172548,0.5180841575790753,0.026124914017493662
edge_Br_only_kS1,False,-70.0,1.0,0.012679881870227226,854207.4949590549,rowcol,0.3759968455256343,0.6228139378613816,0.02036434499342997,1.3496864212348707,0.37091250520230157,0.6165165633072969,0.37346106608552576,0.6196582269108829,0.1391224935158758,0.6277336298314006,0.5361600892294978,0.027250015810580456
