objective,Br_L2,Bt_L2,alpha_deg,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.32588777255476764,0.0883108904462758,0.23757688210849184,52.25,0.30000000000000004,0.14,1.0,11.0,0.09999999999999999
0.32590331240879317,0.08812255669120383,0.23778075571758933,52.25,0.34,0.14,1.0,11.0,0.09999999999999999
0.3260365158070438,0.07310988887810976,0.25292662692893403,53.25,0.32,0.14,1.0,12.0,0.07999999999999999
0.32604795895794436,0.07466168422678579,0.2513862747311586,53.25,0.28,0.14,1.0,12.0,0.07999999999999999
0.32618583814426205,0.08788423942220466,0.23830159872205736,52.25,0.32,0.14,1.0,11.0,0.07999999999999999
0.3263763881044647,0.06818711102268919,0.25818927708177547,53.25,0.28,0.14,1.0,11.5,0.07999999999999999
0.32647026439454985,0.10308751923740696,0.217207706682329,52.0,0.26,0.14,1.0,11.5,0.09999999999999999
0.3265008838747945,0.0883108904462758,0.23818999342851868,52.25,0.30000000000000004,0.14,1.0,11.0,0.07999999999999999
0.32653936017672536,0.08109354156499331,0.24544581861173206,52.5,0.32,0.14,1.0,11.0,0.07999999999999999
0.3266861054726201,0.08812255669120383,0.23856354878141628,52.25,0.34,0.14,1.0,11.0,0.07999999999999999
0.3268062191238283,0.08146617318227417,0.24534004594155412,52.5,0.30000000000000004,0.14,1.0,11.0,0.07999999999999999
0.3269404533633794,0.06749686333896672,0.2594435900244127,53.25,0.34,0.14,1.0,11.5,0.07999999999999999
0.32710546468645774,0.08937058056945624,0.23773488411700153,52.25,0.28,0.14,1.0,11.0,0.09999999999999999
0.32715467858771535,0.081451869481998,0.24570280910571735,52.5,0.34,0.14,1.0,11.0,0.07999999999999999
0.3271631420992802,0.09488345090200302,0.23227969119727718,52.0,0.32,0.14,1.0,11.0,0.07999999999999999
0.32743717791705546,0.0765673447024413,0.25086983321461415,53.25,0.26,0.14,1.0,12.0,0.07999999999999999
0.327490056353968,0.09798417345477477,0.22950588289919324,52.0,0.26,0.14,1.0,11.0,0.09999999999999999
0.32749389085213754,0.07973596689638872,0.2477579239557488,52.75,0.30000000000000004,0.14,1.0,11.5,0.09999999999999999
0.3275175031638234,0.09535199438028419,0.2321655087835392,52.0,0.30000000000000004,0.14,1.0,11.0,0.07999999999999999
0.32752657628851345,0.07356744486697749,0.253959131421536,53.25,0.34,0.14,1.0,12.0,0.07999999999999999
0.32756466898850406,0.0950219362437573,0.23254273274474677,52.0,0.34,0.14,1.0,11.0,0.07999999999999999
0.3275655269429786,0.07933972946722853,0.24822579747575005,52.75,0.32,0.14,1.0,11.5,0.09999999999999999
0.32759441610007395,0.08937058056945624,0.2382238355306177,52.25,0.28,0.14,1.0,11.0,0.07999999999999999
0.327827801691256,0.09988540416630652,0.22794239752494952,52.25,0.30000000000000004,0.14,1.0,12.0,0.09999999999999999
0.3279158179962014,0.08253527018925723,0.24538054780694418,52.5,0.28,0.14,1.0,11.0,0.07999999999999999
0.3279698340837104,0.102048840633616,0.22182331218286244,51.75,0.32,0.14,1.0,11.0,0.09999999999999999
0.3280082787205394,0.08629931972347009,0.2417089589970693,52.75,0.30000000000000004,0.14,1.0,12.0,0.06
0.32810498648524067,0.09435464069233701,0.23375034579290369,52.25,0.30000000000000004,0.14,1.1,11.5,0.09999999999999999
0.3282062551357693,0.07011601427885807,0.25809024085691123,53.25,0.26,0.14,1.0,11.5,0.07999999999999999
0.32820810218326557,0.07456650170673972,0.25364160047652584,52.75,0.32,0.14,1.0,11.0,0.07999999999999999
0.32821364911220685,0.08581417335326377,0.24239947575894305,52.75,0.32,0.14,1.0,12.0,0.06
0.32825356052397936,0.08109354156499331,0.24716001895898604,52.5,0.32,0.14,1.0,11.0,0.09999999999999999
0.32832670765193256,0.0808496746870044,0.24747703296492815,52.75,0.28,0.14,1.0,11.5,0.09999999999999999
0.32837225364325556,0.10210420136142542,0.2220596495589793,51.75,0.34,0.14,1.0,11.0,0.09999999999999999
