objective,Br_L2,Bt_L2,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.4229123540760647,0.059150729201152226,0.3637616248749125,0.24,0.14,1.0,13.0,0.04000000000000002
0.42294872959815655,0.062363064932378795,0.36058566466577774,0.33999999999999997,0.12,1.0,13.5,0.04000000000000002
0.42299957990229997,0.05388930498535407,0.3691102749169459,0.22,0.12,1.0,12.0,0.04000000000000002
0.4230302702490688,0.047414478181759895,0.3756157920673089,0.28,0.14,0.8999999999999999,12.5,0.04000000000000002
0.4230714800977682,0.04602985041238813,0.3770416296853801,0.32,0.14,0.8999999999999999,12.5,0.04000000000000002
0.4230855913600393,0.06101402796475016,0.3620715633952892,0.38,0.14,1.0,13.0,0.06000000000000001
0.4230990256260731,0.057611402395196736,0.36548762323087636,0.22,0.14,0.8999999999999999,12.5,0.06000000000000001
0.42316768739234717,0.048113410665478355,0.3750542767268688,0.3,0.12,1.0999999999999999,12.0,0.08000000000000003
0.42320383374138915,0.05754177568340383,0.3656620580579853,0.36,0.12,1.0999999999999999,12.0,0.06000000000000001
0.4232265347740562,0.04958311931318133,0.3736434154608749,0.3,0.14,1.0999999999999999,12.5,0.06000000000000001
0.42322786384406297,0.049782473318544435,0.37344539052551856,0.28,0.12,1.0999999999999999,11.5,0.06000000000000001
