case,field_csv,current_angle_deg,current_rms_a,torque_sector_Nm,torque_total_Nm
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,267.5,17.6,-0.44584602171519877,-2.6750761302911927
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,270.0,17.6,-0.5504727301652076,-3.3028363809912458
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,272.5,17.6,-0.654051582486525,-3.9243094949191497
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,275.0,17.6,-0.7563854104467148,-4.538312462680289
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,277.5,17.6,-0.8572794157879859,-5.143676494727916
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,280.0,17.6,-0.9565415410367246,-5.739249246220348
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,282.5,17.6,-1.0539828350958358,-6.323897010575015
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,285.0,17.6,-1.1494178129238712,-6.896506877543228
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,287.5,17.6,-1.2426648086163712,-7.455988851698227
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,290.0,17.6,-1.3335463212172185,-8.001277927303311
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,292.5,17.6,-1.421889352601809,-8.531336115610854
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,295.0,17.6,-1.5075257367888162,-9.045154420732898
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,297.5,17.6,-1.5902924600536825,-9.541754760322096
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,300.0,17.6,-1.6700319712345228,-10.020191827407137
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,302.5,17.6,-1.7465924816397052,-10.47955488983823
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,305.0,17.6,-1.8198282539862607,-10.918969523917564
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,307.5,17.6,-1.8895998798190758,-11.337599278914455
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,310.0,17.6,-1.9557745448828192,-11.734647269296914
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,312.5,17.6,-2.01822628194142,-12.109357691648519
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,315.0,17.6,-2.0768362105638625,-12.461017263383175
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,317.5,17.6,-2.131492763419842,-12.788956580519052
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,320.0,17.6,-2.182091898654524,-13.092551391927143
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,322.5,17.6,-2.22853729793812,-13.371223787628722
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,325.0,17.6,-2.270740549813312,-13.624443298879873
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,327.5,17.6,-2.3086213179914785,-13.85172790794887
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,330.0,17.6,-2.342107494277389,-14.052644965664335
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,332.5,17.6,-2.371135335831257,-14.22681201498754
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,335.0,17.6,-2.3956495865068463,-14.373897519041078
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,337.5,17.6,-2.415603582034698,-14.493621492208188
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,340.0,17.6,-2.4309593388502146,-14.585756033101287
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,342.5,17.6,-2.4416876263975333,-14.650125758385201
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,345.0,17.6,-2.447768022771552,-14.686608136629314
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,347.5,17.6,-2.4491889535921847,-14.695133721553109
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,350.0,17.6,-2.445947714036856,-14.675686284221136
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,352.5,17.6,-2.438050473989276,-14.628302843935655
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,355.0,17.6,-2.4255122662947297,-14.553073597768378
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,357.5,17.6,-2.4083569581441835,-14.4501417488651
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,360.0,17.6,-2.3866172056417514,-14.319703233850507
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,0.0,17.6,-2.318203636640321,-13.909221819841925
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,2.5,17.6,-2.292655178961862,-13.755931073771173
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,5.0,17.6,-2.2627425218442476,-13.576455131065487
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,7.5,17.6,-2.2285226057304244,-13.371135634382547
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,10.0,17.6,-2.1900605701756484,-13.140363421053891
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,12.5,17.6,-2.147429629850637,-12.884577779103822
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,15.0,17.6,-2.1007109351732836,-12.6042656110397
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,17.5,17.6,-2.0499934178342247,-12.299960507005348
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,20.0,17.6,-1.9953736215103088,-11.972241729061853
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,22.5,17.6,-1.9369555180882259,-11.621733108529355
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,25.0,17.6,-1.8748503097481057,-11.249101858488634
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,27.5,17.6,-1.8091762172838552,-10.85505730370313
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,30.0,17.6,-1.740058255063151,-10.440349530378906
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,32.5,17.6,-1.667627993055488,-10.005767958332928
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,35.0,17.6,-1.5920233063812645,-9.552139838287587
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,37.5,17.6,-1.5133881128586544,-9.080328677151925
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,40.0,17.6,-1.4318720990478615,-8.591232594287169
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,42.5,17.6,-1.3476304353142403,-8.085782611885442
FEMM equivalent no-load Br,results/paper_vshape_equivalent_1over6/br_bt_arc.csv,45.0,17.6,-1.260823480452692,-7.564940882716153
