edge_width_deg,window_power,edge_bt_gain,edge_params,bt_mode,model_Br_rms,model_Bt_rms,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,objective
10.0,1.6,0.15,closed-form,drive,0.5266475740708034,0.056881245972557205,0.10210173310776446,0.8188881423997953,0.043231525587896884,0.3973468923742244,0.10509421117656768,0.8224348344578607,0.10361180361418897,0.8206694777099041,0.05688545186666804,0.6272352787944968,0.312681930709708
9.0,1.4,0.0,closed-form,drive,0.5306057646524405,0.038477168421514926,0.16573775906899443,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.167083223255908,0.6218955087648171,0.166413212144644,0.6225362684376134,0.07648829187622336,0.51263978750517,0.3141568417536582
10.0,1.2,-0.05,closed-form,drive,0.5282423382542187,0.035121529487957985,0.11998345018465388,0.7765100936716766,0.043231525587896884,0.3973468923742244,0.12198169587109524,0.7725196950247143,0.12098872008061973,0.7745106310847543,0.06194902371576916,0.5998234128417321,0.3142332702385923
10.0,0.8,0.1,closed-form,drive,0.5303248848687021,0.049814351793897226,0.158693657231506,0.6497377931185789,0.043231525587896884,0.3973468923742244,0.15948132579463517,0.6531157728046203,0.15908877587854667,0.6514347569103904,0.0740465098786533,0.5287887441303942,0.31480364188178256
10.0,1.4,0.15,closed-form,drive,0.5273979278290949,0.056881245972557205,0.10873935948234115,0.8188881423997953,0.043231525587896884,0.3973468923742244,0.1112869601771388,0.8224348344578607,0.11002311121643078,0.8206694777099041,0.058712229458092666,0.6272352787944968,0.31675266596191726
13.0,1.4,0.0,closed-form,drive,0.513342572547908,0.038477168421514926,0.16894083532555665,0.6231807664812077,0.044007681172432166,0.3973468923742244,0.1704441548859197,0.6218955087648171,0.1696956807411223,0.6225362684376134,0.07796042280264177,0.51263978750517,0.31677783668884407
15.0,0.8,0.0,closed-form,drive,0.5106529890774276,0.038477168421514926,0.16549322547078377,0.6231807664812077,0.05017788613416867,0.3973468923742244,0.16733148979421544,0.6218955087648171,0.16641675563511615,0.6225362684376134,0.0799966144849925,0.51263978750517,0.3176664045840926
9.0,1.2,0.05,closed-form,drive,0.5311851080803259,0.04258985700073863,0.17536234166382222,0.6109629836773344,0.043231525587896884,0.3973468923742244,0.17638566120757276,0.6111081462449909,0.17587578099190326,0.6110358178472531,0.07968578047079804,0.5062794687509077,0.31844011788078186
11.0,0.8,0.15,closed-form,drive,0.5274682962592977,0.060822308106501605,0.10926985721553073,0.8332979866172584,0.043231525587896884,0.3973468923742244,0.1106896258904743,0.8334824399430282,0.10998346891188229,0.8333905342398076,0.05870077711612707,0.6348512374792048,0.31939292435300753
13.0,1.4,0.1,closed-form,drive,0.513342572547908,0.057278519497110776,0.16894083532555665,0.6374113484558587,0.044007681172432166,0.39799627407964994,0.1704441548859197,0.6344663240686598,0.1696956807411223,0.6359354980099252,0.07796042280264177,0.5203682778093529,0.31948280829530806
